Reference,Nyears,Nsite
Borie,6,5
Alguacil,5,3
Anken,12,4
Castillo,2,4
Deguchi,2,3
Duan,2,4
Bilalis,1,4
Hu,3,4
Krauss,6,4
Mozafar,9,4
Gavito,2,4
McGonigle,1,4
Galvez,6,4
Kabir,11,3
Brito,3,3
Hamel,1,1
Hulugalle,3,4
Locke,6,4
Sheng,18,4
Entry,7,4
Ryan,2,4
Vivekanandan,1,4
Nakamoto,3,1
Njeru,1,6
Higo,1,3
Ramos,1,3
Koide,1,8
Karasawa,1,3
Kunze,1,8
WhiteA,1,4
WhiteB,1,4
WhiteC,1,4
Sorensen,1,4
Boswell,1,6
TurmelA,1,3
TurmelB,1,3
Angelini,1,4
Douds,4,7
Jansa,12,4
Miras-Avalos,7,2
Sale,7,4
Schalamuk,1,3
Wetzel,16,1
Yang,3,4
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
