,,,,,,,,,,,,,,,Root biomass (all)(g/m2),,,,,,fine root biomass(diameter<2 mm)(g/m2),,,,,,coarse root(diameter(2-10)) biomass(g/m2),,,,,,root respiration(umol CO2 m-2 s-1),,,,,,fine root nitrogen (%),,,,,, root carbon (g/m2),,,,,,root:shoot ratio,,,,,,fine root length(m m? 2),,,,,,specific  root length (m/g),,,,,,fine root C:N ratio,,,,,,fine root production (g m-2 y-1),,,,,,fine root turnover rate (y-1),,,,,,fine root diameter (mm),,,,,,fungal colonization (%),,,,,,fine root density (g/cm3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,reference,location,ecosystem/vegetation type,Age (years),Climate,Soil type,P (mm/yr),Ta (?),Ambient N deposition (kg N ha-1 y-1) ,N addition (kg N ha-1 y-1),Fertilizer type,Treatment date,Duration (years),Soil depth (cm),treatment mean,control mean,treatment SD3,control SD4,treatment n5,control n6,treatment mean,control mean,treatment SD4,control SD5,treatment n6,control n7,treatment mean3 Protein,control mean4,treatment SD5,control SD6,treatment n7,control n8,treatment mean4 carbohydrates,control mean5,treatment SD6,control SD7,treatment n8,control n9,treatment mean6 Hemicellulose,control mean7,treatment SD8,control SD9,treatment n10,control n11,treatment mean11,control mean12,treatment SD13,control SD14,treatment n15,control n16,treatment mean12,control mean13,treatment SD14,control SD15,treatment n16,control n17,treatment mean13,control mean14,treatment SD15,control SD16,treatment n17,control n18,treatment mean13,control mean14,treatment SD15,control SD16,treatment n17,control n18,treatment mean13,control mean14,treatment SD15,control SD16,treatment n17,control n18,treatment mean13,control mean14,treatment SD15,control SD16,treatment n17,control n18,treatment mean13,control mean14,treatment SD15,control SD16,treatment n17,control n18,treatment mean13,control mean14,treatment SD15,control SD16,treatment n17,control n18,treatment mean13,control mean14,treatment SD15,control SD16,treatment n17,control n18,treatment mean13,control mean14,treatment SD15,control SD16,treatment n17,control n18,Column2984,Column2985,Column2986,Column2987,Column2988,Column2989,Column2990,Column2991,Column2992,Column2993,Column2994,Column2995,Column2996,Column2997,Column2998,Column2999,Column3000,Column3001,Column3002,Column3003,Column3004,Column3005,Column3006,Column3007,Column3008,Column3009,Column3010,Column3011,Column3012,Column3013,Column3014,Column3015,Column3016,Column3017,Column3018,Column3019,Column3020,Column3021,Column3022,Column3023,Column3024,Column3025,Column3026,Column3027,Column3028,Column3029,Column3030,Column3031,Column3032,Column3033,Column3034,Column3035,Column3036,Column3037,Column3038,Column3039,Column3040,Column3041,Column3042,Column3043,Column3044,Column3045,Column3046,Column3047,Column3048,Column3049,Column3050,Column3051,Column3052,Column3053,Column3054,Column3055,Column3056,Column3057,Column3058,Column3059,Column3060,Column3061,Column3062,Column3063,Column3064,Column3065,Column3066,Column3067,Column3068,Column3069,Column3070,Column3071,Column3072,Column3073,Column3074,Column3075,Column3076,Column3077,Column3078,Column3079,Column3080,Column3081,Column3082,Column3083,Column3084,Column3085,Column3086,Column3087,Column3088,Column3089,Column3090,Column3091,Column3092,Column3093,Column3094,Column3095,Column3096,Column3097,Column3098,Column3099,Column3100,Column3101,Column3102,Column3103,Column3104,Column3105,Column3106,Column3107,Column3108,Column3109,Column3110,Column3111,Column3112,Column3113,Column3114,Column3115,Column3116,Column3117,Column3118,Column3119,Column3120,Column3121
1,"Adamek et al, 2011","western Panamanian province of Chiriqu? (8ø45'N,82ø15'W)",mature montane rain forst,mature,tropical climate,Aluandic Andosol or Alic Hapludand,5545,20.0 ,,125,urea,February.2006-August.2007,1.5,organic layer,,,,,,,165 ,135 ,84 ,18 ,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0-10,,,,,,,217 ,236 ,78 ,36 ,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274,256,82,50,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,10-20,,,,,,,92 ,87 ,30 ,14 ,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,121,24,24,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Allard et al,2006","New Zealand(40ø20?S, 175ø30' E)",Grassland,,temperate climate,,,,5,100,NH4NO3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.814 ,0.537 ,0.112 ,0.112 ,6 ,6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Bardgett et al,1999","Abergwyngregyn, North Wales(53ø13?N, 4ø01' W)",Grassland L. perenne,,temperate climate,,,,0,100,NH4NO3,,0.5,,2.02017 (g),2.80402  (g),0.975 ,1.988 ,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,A. capillaris,,,,,,,,,,0.5,,2.902 ,3.214 ,1.228 ,1.192 ,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,H. lanatus,,,,,,,,,,0.5,,1.422 ,2.014 ,0.722 ,1.445 ,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,F. rubra,,,,,,,,,,0.5,,0.814 ,1.111 ,0.469 ,0.506 ,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Bradford et al, 2008","Duke Forest Teaching and Research Laboratory,North Carolina, USA (35ø97'N, 79ø08'W)",forest,,subtropical climate,"low-fertility, sandy loam of the White Store series",1100,14.6 ,,10,(NH4)2SO4,,1,,12.500 ,19.400 ,6.668 ,3.118 ,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
