Meta,n,yi,vi
grazing,4,0.427413222,0.092992648
grazing,4,0.267916105,0.152538622
grazing,10,0.720546155,0.30462648
grazing,4,0.30081239,0.334611684
grazing,7,0.916290732,2
grazing,7,0.328033368,0.263911196
grazing,2,1.062894206,0.029772473
grazing,2,1.958813554,0.300388025
grazing,2,0.677879708,0.176217473
grazing,72,0.869116734,0.723985423
grazing,72,0.333522767,0.61853195
grazing,36,0.30194765,0.133999662
grazing,3,0.262364264,0.00397929
grazing,39,0.060450056,0.005305108
grazing,10,0.048790164,0.015618618
grazing,8,0.124619905,0.044162273
grazing,10,0,0.501487603
grazing,5.166666667,0.483174092,0.988064774
grazing,14,0.076099343,0.020969686
grazing,3.5,0.045962136,0.155275325
grazing,9.333333333,0.160928247,0.039399487
grazing,24,0.068927026,0.018897527
grazing,17.75,0.414304057,0.027079978
grazing,6,0.068437162,0.034002187
grazing,37,0.197825743,0.005408715
grazing,64,0.40920343,2.38725664
grazing,50,0.102525648,0.008797248
grazing,16,0.080270669,0.042367818
grazing,5,0.279395405,0.009181415
grazing,9,0.261840841,0.015784988
grazing,18,0.712949808,0.029060208
grazing,14,0.391641277,0.005910885
grazing,14,0.286905373,0.009666121
grazing,16.5,0.39705463,0.017450739
grazing,16.5,0.358036415,0.016674708
grazing,16.5,0.406213891,0.01354371
grazing,12,0.32038506,0.083332895
grazing,4,0.405465108,0.099877778
grazing,12,0,0.160836116
grazing,6,0.732588913,0.041127657
grazing,30,0.071825735,0.013485894
grazing,12.5,0.064678397,0.394927741
grazing,32,0.007752645,0.067926473
grazing,5,0.02203946,0.02908549
grazing,28,0.008045652,0.141186208
grazing,5,0.491527988,0.54582832
grazing,14,0.202417421,0.040800845
grazing,10,2.291570033,0.063585932
grazing,3,0.078824945,0
grazing,6,1.451102667,0.026608595
grazing,20,0.100315599,0.006783613
grazing,95,0.10697212,0.149645119
grazing,54.25,1.307425231,0.082633467
grazing,20,0.539848362,0.152174627
grazing,24,1.27140939,0.057608142
grazing,4,0.021681066,0.100232038
grazing,5,0.331357136,0.009235803
grazing,30,0.2797939,0.020016557
grazing,12,1.747411479,0.108381797
grazing,50,0.532672128,0.03197417
grazing,6,0.041014955,0.001602475
grazing,9,0.470178929,0.044006994
grazing,18,0.548817269,0.033559181
grazing,20,0.240429188,0.062367716
grazing,10,0.150783673,0.029012485
grazing,6,0.017837548,0.000575952
grazing,7,0.328286652,0.041715909
grazing,32,1.048779915,0.03435547
grazing,8,0.303255246,0.021164233
grazing,12,0.295464213,0.019566113
grazing,5,0.352039941,0.051241642
grazing,2,1.375712252,0.357536501
grazing,12,0.002594035,0.001792488
grazing,4,0.722527825,0.043545997
grazing,36,0.105706178,0.026270248
grazing,12,0.026811257,0.00143829
grazing,10,0.067727582,0.009979951
grazing,5,0.642503448,0.042339762
grazing,10,0.193494857,0.030398986
grazing,24,0.183275588,0.005291944
grazing,4,0.212220819,0.134409469
grazing,14,0.830006363,0.127851217
grazing,20,2.471904325,0.111507555
grazing,24,1.399717381,0.037970327
grazing,12,1.508568599,0.840290897
grazing,9,1.341910642,0.102893829
grazing,14,0.421672918,0.035034598
grazing,28,0.058268908,0
grazing,3,0.130392768,0
grazing,6,0.062035391,0.293884358
grazing,45,0.013258816,0
grazing,4.5,0.048796767,0.020839357
grazing,11,0.226824439,0.015631333
grazing,24,0.098549611,0.008390528
grazing,30,0.188696977,0.021037268
grazing,5,0.336472237,0.024707372
grazing,30,0.432133355,0.037959873
grazing,50,0.089556312,0.017052421
grazing,16.5,0.020202707,0.043594829
grazing,5,0.748717032,0.060249698
grazing,12,0.037271395,0.003821613
grazing,10,0.448190053,0.014953681
grazing,14,0.059316577,0.006410669
grazing,36,0.035492447,0.039261991
grazing,45,0.036606031,0.004089907
grazing,15,0.414333379,0.004398072
greenInfrastructure,33,0.493229778,0.084342997
greenInfrastructure,33,1.467277415,0.098809871
greenInfrastructure,6,0.511289729,0.344225716
greenInfrastructure,11,0.413692035,0.2627131
greenInfrastructure,11,0.082224285,0.258977185
greenInfrastructure,36,1.173551496,0.065119605
greenInfrastructure,36,1.706004309,0.075767019
greenInfrastructure,27,0.511498313,0.076496579
greenInfrastructure,15,0.411439634,0.138567983
greenInfrastructure,19,0.507961882,0.282806834
greenInfrastructure,19,0.722120371,0.286273052
greenInfrastructure,19,2.43906585,0.357688636
greenInfrastructure,19,3.915985557,0.481187329
greenInfrastructure,8,1.347744775,0.306762999
greenInfrastructure,10,3.572781121,0.519119123
greenInfrastructure,36,1.336914447,0.067967641
greenInfrastructure,36,1.773493334,0.077397768
greenInfrastructure,16,0.328035717,0.287395652
greenInfrastructure,16,0.258553275,0.286758814
greenInfrastructure,2.5,0.087719458,0.834102804
greenInfrastructure,63,0.434309781,0.032494544
greenInfrastructure,6,0.801689429,0.360112748
greenInfrastructure,36,0.084025913,0.055604586
greenInfrastructure,36,0.798779074,0.059986445
greenInfrastructure,36,2.564829394,0.10123854
greenInfrastructure,96.5,0.530855669,0.050090686
greenInfrastructure,96.5,0.718897216,0.050699508
greenInfrastructure,96.5,0.573316493,0.050212147
greenInfrastructure,96.5,0.217286919,0.049482929
greenInfrastructure,16,0.150997338,0.125356253
greenInfrastructure,16,0.061541731,0.125059178
greenInfrastructure,16,0.089524806,0.12512523
greenInfrastructure,16,0.419402617,0.127748415
greenInfrastructure,5.5,0.831240185,0.398073951
greenInfrastructure,5.5,1.002925793,0.412387582
greenInfrastructure,3,0.028810147,0.666735835
greenInfrastructure,3,2.437413961,1.161748902
greenInfrastructure,4.5,0.286059442,0.454546111
greenInfrastructure,12.5,0.163221838,0.379320706
greenInfrastructure,12.5,0.771077308,0.390679083
greenInfrastructure,46,0.514362442,0.044916134
greenInfrastructure,46,0.2539697,0.043828808
greenInfrastructure,46,0.150916981,0.043602043
greenInfrastructure,97,0.606698868,0.026610045
greenInfrastructure,97,2.42054868,0.040762035
greenInfrastructure,15,0.303814314,0.134871719
greenInfrastructure,4.5,1.594720281,0.641285154
greenInfrastructure,4.5,2.734152097,0.915310427
greenInfrastructure,10,0.190068003,0.202923348
greenInfrastructure,4,0.51593792,0.516636996
greenInfrastructure,35,0.487177943,0.05883816
greenInfrastructure,35,0.092928801,0.057204541
greenInfrastructure,50,0.111379846,0.060339303
greenInfrastructure,36,0.166550822,0.055748189
greenInfrastructure,36,1.335474848,0.067940924
Nitrogen,6,0.327872436,0.122573067
Nitrogen,6,0.101937625,0.052789784
Nitrogen,6,0.347976631,0.128747959
Nitrogen,6,0.310940714,0.089894352
Nitrogen,3,0.439544422,0.103472779
Nitrogen,3,1.439216763,0.04356152
Nitrogen,3,0.125769387,0.094564357
Nitrogen,3,0,0.013238389
Nitrogen,3,0.139000098,0.007881213
Nitrogen,3,0.077616964,0.001346479
Nitrogen,3,0.120207489,0.008109304
Nitrogen,3,0.00838517,0.01041645
Nitrogen,3,0.373513508,0.014041656
Nitrogen,2,0.254507368,0.003972521
Nitrogen,3,0.376879615,0.232876411
Nitrogen,3,0.504970089,0.405498832
Nitrogen,3,1.093507417,0.257288582
Nitrogen,3,0.823648611,0.28946015
Nitrogen,3,1.556056484,0.449820972
Nitrogen,3,0.552982743,0.058842307
Nitrogen,3,0.465073068,0.060872994
Nitrogen,3,0.608714074,0.079637511
Nitrogen,3,0.484629258,0.096002507
Nitrogen,3,0.445358495,0.115227287
Nitrogen,3,0.602918643,0.124715577
Nitrogen,3,0.468057365,0.099120456
Nitrogen,3,0.403828368,0.075965357
Nitrogen,3,0.507915473,0.131661871
Nitrogen,3,0.614567959,0.471611692
Nitrogen,3,0.008466961,0.086345809
Nitrogen,3,0.031242066,0.061944034
Nitrogen,3,0.070655149,0.094371344
Nitrogen,3,0.197730561,0.105779195
Nitrogen,3,0.069542377,0.291146552
Nitrogen,3,0.730724945,0.102619946
Nitrogen,3,0.58667424,0.088273791
Nitrogen,3,0.432334507,0.087864068
Nitrogen,3,0.114631741,0.105092099
Nitrogen,3,0.466935478,0.235633826
Nitrogen,3,0.662666744,0.033812353
Nitrogen,3,0.656269846,0.064227951
Nitrogen,3,0.509103712,0.054012331
Nitrogen,3,0.244968541,0.075950555
Nitrogen,3,0.451862,0.087695525
Nitrogen,4,0.114132009,0.076622661
Nitrogen,6,0.21440886,0.007670005
Nitrogen,4,0.364539492,0.008700626
Nitrogen,8,0.56195497,0.560854467
Nitrogen,8,0.926078738,0.605093501
Nitrogen,8,0.043802623,0.678353935
Nitrogen,8,0.372567405,0.566831939
Nitrogen,8,0.377433594,0.695749365
